,Simulator,Device,Batch Size,Time,Speed
0,New,cpu,1,11531,8.67227473766369e-05
1,New,cpu,10,8958,0.0011163206072784104
2,New,cpu,100,11382,0.008785802143735724
3,New,cpu,1000,80149,0.012476762030717788
4,New,cpu,2000,66252,0.030187767916440258
5,New,cpu,5000,112966,0.04426110511127242
6,New,cpu,8000,208140,0.03843566830018257
7,New,cpu,10000,260106,0.03844586437836882
8,New,cpu,13000,266538,0.048773533229783374
9,New,cpu,15000,296881,0.05052529464667661
10,New,cpu,18000,373246,0.04822556705229259
11,New,cpu,20000,400223,0.0499721405316536
12,New,cpu,22000,450845,0.048797258481296235
13,New,cpu,25000,518339,0.04823098396995017
14,New,cpu,27000,565400,0.047753802617615845
15,New,cpu,30000,741803,0.04044200414395736
16,New,cuda,1,245506,4.0732202064308e-06
17,New,cuda,10,13787,0.0007253209545223762
18,New,cuda,100,13716,0.007290755322251386
19,New,cuda,1000,14175,0.07054673721340388
20,New,cuda,2000,13966,0.143204926249463
21,New,cuda,5000,13919,0.3592212084201451
22,New,cuda,8000,14678,0.5450333832947268
23,New,cuda,10000,13922,0.7182876023559833
24,New,cuda,13000,14693,0.8847750629551487
25,New,cuda,15000,14102,1.0636789107927953
26,New,cuda,18000,14369,1.2526967777855105
27,New,cuda,20000,14485,1.380738695201933
28,New,cuda,22000,14252,1.5436429974740387
29,New,cuda,25000,14271,1.751804358489244
30,New,cuda,27000,14220,1.8987341772151898
31,New,cuda,30000,14149,2.120291186656301
0,Old,cpu,1,16097,6.212337702677517e-05
1,Old,cpu,10,152249,6.568187639984499e-05
2,Old,cpu,100,1509827,6.6232753818815e-05
3,Old,cpu,1000,15169745,6.592068620797515e-05
4,Old,cpu,2000,30316454,6.597077613364677e-05
5,Old,cpu,5000,75877906,6.589533453914766e-05
6,Old,cpu,8000,121168668,6.602366875898974e-05
7,Old,cpu,10000,151360835,6.606728880690966e-05
8,Old,cpu,13000,197331636,6.58789450263312e-05
9,Old,cpu,15000,227087975,6.605369570977943e-05
10,Old,cpu,18000,272623157,6.60252056284419e-05
11,Old,cpu,20000,302115016,6.619995346408071e-05
12,Old,cpu,22000,333163882,6.603356842864497e-05
13,Old,cpu,25000,377597947,6.620798708950608e-05
14,Old,cpu,27000,408692969,6.606426351318023e-05
15,Old,cpu,30000,454374656,6.60248092710523e-05
16,Old,cuda,1,25243,3.9614942756407714e-05
17,Old,cuda,10,247302,4.0436389515652924e-05
18,Old,cuda,100,2403866,4.15996565532355e-05
19,Old,cuda,1000,23897685,4.184505737689655e-05
20,Old,cuda,2000,47693959,4.1934031938929625e-05
21,Old,cuda,5000,119434536,4.18639379149093e-05
22,Old,cuda,8000,190141940,4.207383179113456e-05
23,Old,cuda,10000,238939890,4.1851530106588735e-05
24,Old,cuda,13000,309087384,4.205930320339442e-05
25,Old,cuda,15000,357830176,4.191932655785855e-05
26,Old,cuda,18000,431063921,4.175714812374659e-05
27,Old,cuda,20000,477897218,4.185000298536996e-05
28,Old,cuda,22000,525890932,4.1833769440238226e-05
29,Old,cuda,25000,597361182,4.1850727421387754e-05
30,Old,cuda,27000,644266126,4.190814775197416e-05
31,Old,cuda,30000,716352823,4.187880474088674e-05
