,Simulator,Device,Batch Size,Time,Speed
0,New,cpu,1,11395,8.775778850372971e-05
1,New,cpu,10,8741,0.0011440338634023568
2,New,cpu,100,12676,0.007888923950773114
3,New,cpu,1000,59881,0.016699787912693508
4,New,cpu,2000,128722,0.015537359581112785
5,New,cpu,5000,268766,0.018603543602985495
6,New,cpu,8000,427520,0.0187125748502994
7,New,cpu,10000,636508,0.015710721624865674
8,New,cpu,13000,776267,0.016746815206623494
9,New,cpu,15000,877974,0.01708478838781103
10,New,cpu,18000,48139,0.3739171981137955
11,New,cpu,20000,195006,0.10256094684266125
12,New,cpu,22000,319167,0.06892943192748624
13,New,cpu,25000,623143,0.040119202173497896
14,New,cpu,27000,646092,0.041789714158355154
15,New,cpu,30000,225320,0.1331439730161548
16,New,cuda,1,245804,4.0682820458576756e-06
17,New,cuda,10,13661,0.0007320108337603397
18,New,cuda,100,13459,0.0074299725091017165
19,New,cuda,1000,14067,0.07108836283500392
20,New,cuda,2000,13745,0.14550745725718442
21,New,cuda,5000,13687,0.36531014831592024
22,New,cuda,8000,14070,0.5685856432125089
23,New,cuda,10000,13783,0.725531451788435
24,New,cuda,13000,14124,0.9204191447182102
25,New,cuda,15000,14078,1.0654922574229293
26,New,cuda,18000,14492,1.2420645873585427
27,New,cuda,20000,14692,1.361285053090117
28,New,cuda,22000,14237,1.5452693685467445
29,New,cuda,25000,14452,1.7298643786327152
30,New,cuda,27000,14465,1.8665744901486347
31,New,cuda,30000,14387,2.0852158198373534
